raza,tamaño,pelo,peso,altura,img,url
"Border Collie",Mediano,Manto doble y de largo mediano. Denso y suave.,Entre 16-23kg,Entre 46 y 53 cm.,https://static.hogarmania.com/archivos/201605/border-collie-4-1280x720x80xX.jpg,http://www.razasdeperro.net/perro-border-collie/
"Caniche","Existen 4 tamaños: grande,estándar, miniatura y toy",Muy enrulado con textura lanosa abundante,"Grande:20-22kg,Estándar:10-12kg,Miniatura:4-7kg,Toy:2-3kg","Grande:45-60cm, Estándar:35-45,Miniatura:28-35cm,Toy:24-28",https://www.hogarmania.com/archivos/201705/mascotas-perros-razas-caniche-XxXx80.jpg,"http://www.razasdeperro.net/perro-caniche/"
"Salchicha","Alargado y compacto, músculos fuertes","3 Variedades:pelo corto, crespo y largo",Entre 7-9kg,Entre 17-25cm,"http://milmascotas.hiperarticulos.com/wp-content/uploads/2016/04/perro-salchicha-3.jpg","http://www.razasdeperro.net/perro-salchicha/"
"Dálmata","Mediano,atlético y coompacto","Corto,duro,denso,liso y brillante",Entre 27-32kg,Entre 56-61cm,https://static16.gestionaweb.cat/447/pwimg-1024/dalmata-3.jpg,http://www.razasdeperro.net/perro-dalmata/
"Labrador","Mediano,musculoso,fuerte y compacto","Corto,grueso y denso",Entre 27-37kg,Entre 56-57cm,https://okdiario.com/img/2017/06/30/perro-labrador-1-655x368.jpg,http://www.razasdeperro.net/perro-labrador/
"Bulldog Americano","Mediano,robusto,compacto y fuerte","Corto,liso,suave y pegado al cuerpo",Entre 45-55kg,Entre 57-67cm,https://www.mundoperro.net/wp-content/uploads/Bulldog-americano.jpg,http://www.razasdeperro.net/perro-bulldog-americano/
"Collie",Mediano y muy fuerte,"Largo,suave y compacto",Entre 20-29kg,Entre 56-61cm,https://www.dogalize.com/wp-content/uploads/2017/01/C3.jpg,http://www.razasdeperro.net/perro-collie/
"Dóberman","Mediano,fuerte y robusto","Corto,duro,liso y denso.Muy pegado al cuerpo",Entre 40-45kg,Entre 68-72cm,https://mascotafiel.com/wp-content/uploads/2015/09/perros-doberman_opt-1.jpg,http://www.razasdeperro.net/perro-doberman/
"Pequinés",Pequeño y rectangular,"Muy lacio,abundante y largo",Entre 2-8kg,Entre 15-19cm,https://notasdemascotas.com/wp-content/uploads/2017/08/Pekin%C3%A9s.jpg,http://www.razasdeperro.net/perro-pequines/
"Galgo Español",Mediano y compacto,"Fino,corto y duro",Entre 23-25kg,Entre 62-70cm,https://static.hogarmania.com/archivos/201105/galgo-xl-848x477x80xX.jpg,http://www.razasdeperro.net/perro-galgo-espanol/
"San Bernardo",Muy grande y macizo,Largo medio de liso a ligeramente ondeado,Entre 60-90kg,Entre 65-80cm,https://www.mundoperro.net/wp-content/uploads/San-bernardo.jpg,http://www.razasdeperro.net/perro-san-bernardo/
"Golden Retriever","Mediano,musculoso y fuerte","Largo medio,liso u ondulado",Entre 27-32kg,Entre 51-61cm,https://upload.wikimedia.org/wikipedia/commons/c/c0/Golden_Retriever_with_tennis_ball.jpg,https://es.wikipedia.org/wiki/Golden_retriever
